 Episode: 5066, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.1
 Episode: 5067, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.2
 Episode: 5068, Total Reward: 2.0, Steps: 224, 10-Window_Average: 1.3
 Episode: 5069, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.0
 Episode: 5070, Total Reward: 2.0, Steps: 200, 10-Window_Average: 1.2
 Episode: 5071, Total Reward: 1.0, Steps: 151, 10-Window_Average: 1.2
 Episode: 5072, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.1
 Episode: 5073, Total Reward: 2.0, Steps: 199, 10-Window_Average: 0.9
 Episode: 5074, Total Reward: 1.0, Steps: 152, 10-Window_Average: 0.9
 Episode: 5075, Total Reward: 3.0, Steps: 246, 10-Window_Average: 1.2
 Episode: 5076, Total Reward: 0.0, Steps: 123, 10-Window_Average: 1.2
 Episode: 5077, Total Reward: 2.0, Steps: 198, 10-Window_Average: 1.3
 Episode: 5078, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.1
 Episode: 5079, Total Reward: 0.0, Steps: 125, 10-Window_Average: 1.1
 Episode: 5080, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.0
 Episode: 5081, Total Reward: 1.0, Steps: 151, 10-Window_Average: 1.0
 Episode: 5082, Total Reward: 2.0, Steps: 180, 10-Window_Average: 1.2
 Episode: 5083, Total Reward: 2.0, Steps: 201, 10-Window_Average: 1.2
 Episode: 5084, Total Reward: 1.0, Steps: 171, 10-Window_Average: 1.2
 Episode: 5085, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.9
 Episode: 5086, Total Reward: 1.0, Steps: 172, 10-Window_Average: 1.0
 Episode: 5087, Total Reward: 1.0, Steps: 150, 10-Window_Average: 0.9
 Episode: 5088, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.9
 Episode: 5089, Total Reward: 1.0, Steps: 170, 10-Window_Average: 1.0
 Episode: 5090, Total Reward: 1.0, Steps: 151, 10-Window_Average: 1.0
 Episode: 5091, Total Reward: 1.0, Steps: 153, 10-Window_Average: 1.0
 Episode: 5092, Total Reward: 3.0, Steps: 230, 10-Window_Average: 1.1
 Episode: 5093, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.9
 Episode: 5094, Total Reward: 1.0, Steps: 152, 10-Window_Average: 0.9
 Episode: 5095, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.9
 Episode: 5096, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.8
 Episode: 5097, Total Reward: 2.0, Steps: 182, 10-Window_Average: 0.9
 Episode: 5098, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.9
 Episode: 5099, Total Reward: 1.0, Steps: 173, 10-Window_Average: 0.9
 Episode: 5100, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.8
 Episode: 5101, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.7
 Episode: 5102, Total Reward: 1.0, Steps: 170, 10-Window_Average: 0.5
 Episode: 5103, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.5
 Episode: 5104, Total Reward: 1.0, Steps: 152, 10-Window_Average: 0.5
 Episode: 5105, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.5
 Episode: 5106, Total Reward: 1.0, Steps: 154, 10-Window_Average: 0.6
 Episode: 5107, Total Reward: 3.0, Steps: 250, 10-Window_Average: 0.7
 Episode: 5108, Total Reward: 0.0, Steps: 124, 10-Window_Average: 0.7
 Episode: 5109, Total Reward: 1.0, Steps: 171, 10-Window_Average: 0.7
 Episode: 5110, Total Reward: 1.0, Steps: 171, 10-Window_Average: 0.8
 Episode: 5111, Total Reward: 1.0, Steps: 174, 10-Window_Average: 0.9
 Episode: 5112, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.8
 Episode: 5113, Total Reward: 0.0, Steps: 123, 10-Window_Average: 0.8
