episode,reward,epsilon,action_frequency
12000, 19.0, 0.01, "{0: 73, 1: 26, 2: 50, 3: 55}"
12025, 20.0, 0.01, "{0: 61, 1: 36, 2: 33, 3: 35}"
12050, 18.0, 0.01, "{0: 93, 1: 15, 2: 46, 3: 42}"
12075, 17.0, 0.01, "{0: 75, 1: 14, 2: 42, 3: 58}"
12100, 22.0, 0.01, "{0: 102, 1: 25, 2: 35, 3: 37}"
12125, 9.0, 0.01, "{0: 61, 1: 10, 2: 20, 3: 19}"
12150, 17.0, 0.01, "{0: 69, 1: 12, 2: 39, 3: 43}"
12175, 15.0, 0.01, "{0: 77, 1: 23, 2: 39, 3: 37}"
12200, 22.0, 0.01, "{0: 95, 1: 12, 2: 46, 3: 44}"
12225, 19.0, 0.01, "{0: 95, 1: 16, 2: 34, 3: 37}"
12250, 19.0, 0.01, "{0: 101, 1: 8, 2: 36, 3: 35}"
12275, 18.0, 0.01, "{0: 92, 1: 10, 2: 31, 3: 38}"
12300, 21.0, 0.01, "{0: 71, 1: 22, 2: 34, 3: 38}"
12325, 22.0, 0.01, "{0: 120, 1: 12, 2: 36, 3: 41}"
12350, 21.0, 0.01, "{0: 111, 1: 14, 2: 36, 3: 38}"
12375, 21.0, 0.01, "{0: 124, 1: 11, 2: 23, 3: 29}"
12400, 30.0, 0.01, "{0: 59, 1: 5, 2: 46, 3: 48}"
12425, 18.0, 0.01, "{0: 89, 1: 5, 2: 44, 3: 40}"
12450, 17.0, 0.01, "{0: 83, 1: 11, 2: 38, 3: 33}"
12475, 12.0, 0.01, "{0: 80, 1: 6, 2: 24, 3: 25}"
12500, 16.0, 0.01, "{0: 86, 1: 10, 2: 42, 3: 35}"
12525, 11.0, 0.01, "{0: 64, 1: 6, 2: 35, 3: 33}"
12550, 16.0, 0.01, "{0: 64, 1: 13, 2: 38, 3: 34}"
12575, 19.0, 0.01, "{0: 68, 1: 7, 2: 38, 3: 31}"
12600, 16.0, 0.01, "{0: 92, 1: 22, 2: 39, 3: 34}"
12625, 18.0, 0.01, "{0: 88, 1: 9, 2: 38, 3: 34}"
12650, 24.0, 0.01, "{0: 91, 1: 21, 2: 40, 3: 37}"
12675, 22.0, 0.01, "{0: 84, 1: 20, 2: 43, 3: 40}"
12700, 16.0, 0.01, "{0: 104, 1: 8, 2: 32, 3: 32}"
12725, 14.0, 0.01, "{0: 101, 1: 7, 2: 24, 3: 25}"
12750, 21.0, 0.01, "{0: 151, 1: 6, 2: 31, 3: 26}"
12775, 29.0, 0.01, "{0: 154, 1: 8, 2: 31, 3: 37}"
12800, 14.0, 0.01, "{0: 92, 1: 7, 2: 35, 3: 40}"
12825, 13.0, 0.01, "{0: 92, 1: 7, 2: 23, 3: 29}"
12850, 14.0, 0.01, "{0: 127, 1: 7, 2: 16, 3: 25}"
12875, 16.0, 0.01, "{0: 109, 1: 5, 2: 20, 3: 24}"
12900, 13.0, 0.01, "{0: 90, 1: 9, 2: 18, 3: 31}"
12925, 16.0, 0.01, "{0: 120, 1: 6, 2: 25, 3: 29}"
12950, 18.0, 0.01, "{0: 118, 1: 10, 2: 26, 3: 24}"
12975, 17.0, 0.01, "{0: 103, 1: 6, 2: 23, 3: 23}"
13000, 15.0, 0.01, "{0: 97, 1: 13, 2: 25, 3: 32}"
13025, 15.0, 0.01, "{0: 72, 1: 16, 2: 21, 3: 28}"
13050, 19.0, 0.01, "{0: 96, 1: 10, 2: 40, 3: 33}"
13075, 23.0, 0.01, "{0: 134, 1: 10, 2: 26, 3: 35}"
13100, 21.0, 0.01, "{0: 137, 1: 17, 2: 22, 3: 28}"
13125, 21.0, 0.01, "{0: 119, 1: 12, 2: 25, 3: 44}"
13150, 12.0, 0.01, "{0: 59, 1: 15, 2: 32, 3: 33}"
13175, 11.0, 0.01, "{0: 86, 1: 5, 2: 24, 3: 22}"
13200, 17.0, 0.01, "{0: 94, 1: 11, 2: 29, 3: 37}"
13225, 12.0, 0.01, "{0: 69, 1: 7, 2: 15, 3: 25}"
13250, 17.0, 0.01, "{0: 100, 1: 7, 2: 28, 3: 30}"
13275, 13.0, 0.01, "{0: 103, 1: 7, 2: 17, 3: 27}"
