date-time,episode,total_steps,reward,pid,steps,avg_loss,value_net,target_net,epsilon
2022/12/26-12:15:37,1,386,1.0,27463,50,0.014670,-365.7958679199219,5.324866771697998,1.0
2022/12/26-12:15:37,2,386,1.0,27460,48,0.017938,-360.8665771484375,5.324866771697998,1.0
2022/12/26-12:15:38,3,403,1.0,27467,50,0.011870,-368.1286926269531,5.324866771697998,1.0
2022/12/26-12:15:38,4,420,1.0,27468,48,0.020877,-388.022705078125,5.324866771697998,1.0
2022/12/26-12:15:38,5,420,2.0,27464,55,0.035078,-390.3883056640625,5.324866771697998,1.0
2022/12/26-12:15:39,6,454,1.0,27466,55,0.016030,-415.51092529296875,5.324866771697998,1.0
2022/12/26-12:15:42,7,584,3.0,27462,83,0.031575,-512.18701171875,5.324866771697998,1.0
2022/12/26-12:15:42,8,597,2.0,27461,81,0.020722,-528.2396850585938,5.324866771697998,1.0
2022/12/26-12:15:46,9,794,0.0,27464,52,0.017968,-626.7978515625,5.324866771697998,0.9992
2022/12/26-12:15:48,10,855,1.0,27460,52,0.017013,-647.2699584960938,5.324866771697998,0.9991
2022/12/26-12:15:48,11,871,2.0,27463,60,0.021696,-652.4312744140625,5.324866771697998,0.9991
2022/12/26-12:15:48,12,881,3.0,27467,71,0.024194,-654.9974975585938,5.324866771697998,0.99905
2022/12/26-12:15:48,13,881,1.0,27468,54,0.018022,-654.9974975585938,5.324866771697998,0.9991
2022/12/26-12:15:50,14,962,1.0,27466,58,0.014383,-685.9243774414062,5.324866771697998,0.9991
2022/12/26-12:15:53,15,1106,2.0,27461,60,0.022076,-736.306640625,5.324866771697998,0.99905
2022/12/26-12:15:54,16,1186,2.0,27462,80,0.026719,-757.499267578125,5.324866771697998,0.99915
2022/12/26-12:15:55,17,1207,0.0,27463,40,0.016672,-764.453369140625,5.324866771697998,0.9982
2022/12/26-12:15:57,18,1296,1.0,27464,58,0.016274,-784.2464599609375,5.324866771697998,0.9984
2022/12/26-12:15:59,19,1408,2.0,27467,71,0.024654,-800.4625244140625,5.324866771697998,0.9981
2022/12/26-12:16:01,20,1525,3.0,27466,82,0.020757,-815.5177612304688,5.324866771697998,0.9982
2022/12/26-12:16:01,21,1561,2.0,27461,56,0.023882,-819.3851928710938,5.324866771697998,0.9981
2022/12/26-12:16:01,22,1575,1.0,27463,46,0.016964,-821.284912109375,5.324866771697998,0.9973
2022/12/26-12:16:02,23,1610,5.0,27468,96,0.029451,-824.1011352539062,5.324866771697998,0.9982
2022/12/26-12:16:03,24,1666,1.0,27462,57,0.022514,-834.4053344726562,5.324866771697998,0.9983
2022/12/26-12:16:04,25,1707,4.0,27460,105,0.024618,-839.3304443359375,5.324866771697998,0.9982
