episode,reward,epsilon,action_frequency
25, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
50, 0.0, 0.01, "{0: 29, 1: 6, 2: 0, 3: 0}"
75, 0.0, 0.01, "{0: 29, 1: 5, 2: 0, 3: 1}"
100, 0.0, 0.01, "{0: 0, 1: 32, 2: 0, 3: 0}"
125, 11.0, 0.01, "{0: 0, 1: 5, 2: 0, 3: 66}"
150, 0.0, 0.01, "{0: 0, 1: 32, 2: 0, 3: 0}"
175, 6.0, 0.01, "{0: 44, 1: 41, 2: 0, 3: 3}"
200, 0.0, 0.01, "{0: 0, 1: 32, 2: 0, 3: 0}"
225, 11.0, 0.01, "{0: 57, 1: 5, 2: 0, 3: 9}"
250, 0.0, 0.01, "{0: 29, 1: 5, 2: 0, 3: 1}"
275, 2.0, 0.01, "{0: 0, 1: 48, 2: 0, 3: 1}"
300, 0.0, 0.01, "{0: 25, 1: 7, 2: 0, 3: 2}"
325, 0.0, 0.01, "{0: 12, 1: 18, 2: 0, 3: 3}"
350, 1.0, 0.01, "{0: 31, 1: 5, 2: 1, 3: 5}"
375, 0.0, 0.01, "{0: 16, 1: 18, 2: 0, 3: 0}"
400, 0.0, 0.01, "{0: 13, 1: 20, 2: 0, 3: 0}"
425, 0.0, 0.01, "{0: 25, 1: 8, 2: 0, 3: 0}"
450, 0.0, 0.01, "{0: 25, 1: 8, 2: 0, 3: 0}"
475, 0.0, 0.01, "{0: 20, 1: 13, 2: 0, 3: 0}"
500, 0.0, 0.01, "{0: 7, 1: 25, 2: 0, 3: 0}"
525, 0.0, 0.01, "{0: 21, 1: 9, 2: 0, 3: 5}"
550, 0.0, 0.01, "{0: 3, 1: 28, 2: 0, 3: 4}"
575, 0.0, 0.01, "{0: 14, 1: 20, 2: 0, 3: 0}"
600, 5.0, 0.01, "{0: 57, 1: 19, 2: 0, 3: 4}"
625, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
650, 3.0, 0.01, "{0: 52, 1: 6, 2: 2, 3: 1}"
675, 2.0, 0.01, "{0: 25, 1: 13, 2: 1, 3: 11}"
700, 7.0, 0.01, "{0: 30, 1: 18, 2: 0, 3: 18}"
725, 3.0, 0.01, "{0: 37, 1: 5, 2: 0, 3: 16}"
750, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
775, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
800, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
825, 0.0, 0.01, "{0: 29, 1: 6, 2: 0, 3: 0}"
850, 0.0, 0.01, "{0: 27, 1: 8, 2: 0, 3: 0}"
875, 0.0, 0.01, "{0: 29, 1: 6, 2: 0, 3: 0}"
900, 2.0, 0.01, "{0: 31, 1: 9, 2: 0, 3: 10}"
925, 0.0, 0.01, "{0: 16, 1: 19, 2: 0, 3: 0}"
950, 0.0, 0.01, "{0: 26, 1: 8, 2: 0, 3: 0}"
975, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
1000, 0.0, 0.01, "{0: 23, 1: 11, 2: 0, 3: 0}"
1025, 0.0, 0.01, "{0: 25, 1: 9, 2: 1, 3: 0}"
