episode,reward,epsilon,action_frequency
1050, 0.0, 0.01, "{0: 26, 1: 9, 2: 0, 3: 0}"
1075, 0.0, 0.01, "{0: 29, 1: 5, 2: 0, 3: 1}"
1100, 3.0, 0.01, "{0: 27, 1: 18, 2: 0, 3: 12}"
1125, 0.0, 0.01, "{0: 19, 1: 14, 2: 0, 3: 0}"
1150, 1.0, 0.01, "{0: 27, 1: 13, 2: 0, 3: 1}"
1175, 2.0, 0.01, "{0: 30, 1: 15, 2: 0, 3: 4}"
1200, 0.0, 0.01, "{0: 11, 1: 21, 2: 0, 3: 0}"
1225, 2.0, 0.01, "{0: 36, 1: 6, 2: 0, 3: 8}"
1250, 0.0, 0.01, "{0: 26, 1: 9, 2: 0, 3: 0}"
1275, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
1300, 0.0, 0.01, "{0: 29, 1: 5, 2: 1, 3: 0}"
1325, 7.0, 0.01, "{0: 1, 1: 27, 2: 0, 3: 38}"
1350, 3.0, 0.01, "{0: 40, 1: 8, 2: 0, 3: 10}"
1375, 2.0, 0.01, "{0: 24, 1: 21, 2: 1, 3: 4}"
1400, 3.0, 0.01, "{0: 32, 1: 7, 2: 7, 3: 12}"
1425, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
1450, 0.0, 0.01, "{0: 27, 1: 5, 2: 0, 3: 3}"
1475, 1.0, 0.01, "{0: 29, 1: 5, 2: 1, 3: 7}"
1500, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
1525, 0.0, 0.01, "{0: 17, 1: 15, 2: 0, 3: 0}"
1550, 0.0, 0.01, "{0: 21, 1: 10, 2: 1, 3: 2}"
1575, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
1600, 2.0, 0.01, "{0: 44, 1: 9, 2: 1, 3: 0}"
1625, 0.0, 0.01, "{0: 1, 1: 31, 2: 0, 3: 0}"
1650, 0.0, 0.01, "{0: 22, 1: 10, 2: 0, 3: 0}"
1675, 2.0, 0.01, "{0: 37, 1: 13, 2: 2, 3: 1}"
1700, 0.0, 0.01, "{0: 7, 1: 25, 2: 0, 3: 0}"
1725, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
1750, 0.0, 0.01, "{0: 7, 1: 25, 2: 0, 3: 0}"
1775, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
1800, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
1825, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
1850, 0.0, 0.01, "{0: 20, 1: 15, 2: 0, 3: 0}"
1875, 0.0, 0.01, "{0: 29, 1: 6, 2: 0, 3: 0}"
1900, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
1925, 0.0, 0.01, "{0: 13, 1: 19, 2: 0, 3: 0}"
1950, 0.0, 0.01, "{0: 28, 1: 7, 2: 0, 3: 0}"
1975, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
2000, 0.0, 0.01, "{0: 13, 1: 19, 2: 0, 3: 0}"
2025, 1.0, 0.01, "{0: 31, 1: 8, 2: 1, 3: 1}"
2050, 7.0, 0.01, "{0: 83, 1: 5, 2: 0, 3: 4}"
2075, 0.0, 0.01, "{0: 20, 1: 12, 2: 0, 3: 0}"
2100, 0.0, 0.01, "{0: 25, 1: 8, 2: 0, 3: 0}"
2125, 3.0, 0.01, "{0: 44, 1: 11, 2: 0, 3: 2}"
2150, 0.0, 0.01, "{0: 27, 1: 7, 2: 0, 3: 0}"
2175, 0.0, 0.01, "{0: 17, 1: 15, 2: 0, 3: 0}"
2200, 7.0, 0.01, "{0: 72, 1: 11, 2: 0, 3: 14}"
2225, 0.0, 0.01, "{0: 23, 1: 11, 2: 0, 3: 0}"
2250, 0.0, 0.01, "{0: 26, 1: 8, 2: 0, 3: 0}"
2275, 0.0, 0.01, "{0: 17, 1: 15, 2: 0, 3: 0}"
2300, 0.0, 0.01, "{0: 30, 1: 5, 2: 0, 3: 0}"
2325, 0.0, 0.01, "{0: 17, 1: 15, 2: 0, 3: 0}"
2350, 0.0, 0.01, "{0: 24, 1: 9, 2: 0, 3: 0}"
2375, 0.0, 0.01, "{0: 23, 1: 11, 2: 0, 3: 0}"
2400, 1.0, 0.01, "{0: 25, 1: 12, 2: 0, 3: 3}"
2425, 0.0, 0.01, "{0: 17, 1: 15, 2: 0, 3: 0}"
2450, 1.0, 0.01, "{0: 37, 1: 6, 2: 1, 3: 1}"
2475, 0.0, 0.01, "{0: 5, 1: 27, 2: 0, 3: 0}"
2500, 0.0, 0.01, "{0: 29, 1: 5, 2: 0, 3: 1}"
2525, 7.0, 0.01, "{0: 20, 1: 6, 2: 2, 3: 38}"
2550, 7.0, 0.01, "{0: 1, 1: 10, 2: 0, 3: 55}"
2575, 6.0, 0.01, "{0: 60, 1: 5, 2: 0, 3: 25}"
2600, 9.0, 0.01, "{0: 59, 1: 12, 2: 2, 3: 18}"
2625, 4.0, 0.01, "{0: 22, 1: 27, 2: 2, 3: 15}"
2650, 3.0, 0.01, "{0: 9, 1: 6, 2: 2, 3: 41}"
2675, 6.0, 0.01, "{0: 45, 1: 25, 2: 0, 3: 20}"
2700, 7.0, 0.01, "{0: 68, 1: 7, 2: 8, 3: 18}"
2725, 7.0, 0.01, "{0: 58, 1: 7, 2: 4, 3: 29}"
2750, 7.0, 0.01, "{0: 79, 1: 6, 2: 3, 3: 10}"
2775, 3.0, 0.01, "{0: 31, 1: 5, 2: 1, 3: 21}"
2800, 3.0, 0.01, "{0: 32, 1: 8, 2: 5, 3: 13}"
2825, 4.0, 0.01, "{0: 32, 1: 17, 2: 14, 3: 11}"
2850, 1.0, 0.01, "{0: 11, 1: 5, 2: 0, 3: 26}"
2875, 3.0, 0.01, "{0: 29, 1: 13, 2: 7, 3: 13}"
2900, 7.0, 0.01, "{0: 2, 1: 18, 2: 16, 3: 30}"
2925, 4.0, 0.01, "{0: 23, 1: 10, 2: 3, 3: 30}"
2950, 6.0, 0.01, "{0: 66, 1: 6, 2: 0, 3: 18}"
2975, 11.0, 0.01, "{0: 74, 1: 9, 2: 0, 3: 23}"
3000, 5.0, 0.01, "{0: 63, 1: 5, 2: 2, 3: 12}"
3025, 7.0, 0.01, "{0: 32, 1: 7, 2: 9, 3: 18}"
3050, 7.0, 0.01, "{0: 14, 1: 19, 2: 25, 3: 40}"
3075, 3.0, 0.01, "{0: 9, 1: 9, 2: 3, 3: 37}"
3100, 3.0, 0.01, "{0: 10, 1: 7, 2: 19, 3: 22}"
3125, 11.0, 0.01, "{0: 22, 1: 5, 2: 19, 3: 25}"
3150, 7.0, 0.01, "{0: 12, 1: 10, 2: 18, 3: 26}"
3175, 2.0, 0.01, "{0: 19, 1: 5, 2: 8, 3: 18}"
3200, 7.0, 0.01, "{0: 2, 1: 11, 2: 32, 3: 21}"
3225, 3.0, 0.01, "{0: 2, 1: 14, 2: 25, 3: 16}"
3250, 3.0, 0.01, "{0: 14, 1: 10, 2: 14, 3: 20}"
3275, 8.0, 0.01, "{0: 28, 1: 41, 2: 11, 3: 21}"
3300, 7.0, 0.01, "{0: 16, 1: 8, 2: 19, 3: 23}"
3325, 3.0, 0.01, "{0: 23, 1: 14, 2: 6, 3: 15}"
3350, 11.0, 0.01, "{0: 19, 1: 11, 2: 20, 3: 21}"
3375, 3.0, 0.01, "{0: 6, 1: 21, 2: 24, 3: 9}"
3400, 6.0, 0.01, "{0: 17, 1: 13, 2: 57, 3: 14}"
3425, 13.0, 0.01, "{0: 4, 1: 10, 2: 39, 3: 43}"
3450, 13.0, 0.01, "{0: 20, 1: 6, 2: 42, 3: 53}"
3475, 4.0, 0.01, "{0: 19, 1: 5, 2: 21, 3: 24}"
3500, 7.0, 0.01, "{0: 28, 1: 5, 2: 31, 3: 34}"
3525, 5.0, 0.01, "{0: 42, 1: 5, 2: 23, 3: 11}"
3550, 6.0, 0.01, "{0: 32, 1: 11, 2: 27, 3: 19}"
3575, 6.0, 0.01, "{0: 7, 1: 7, 2: 35, 3: 41}"
3600, 6.0, 0.01, "{0: 21, 1: 6, 2: 38, 3: 25}"
3625, 12.0, 0.01, "{0: 4, 1: 21, 2: 19, 3: 40}"
3650, 11.0, 0.01, "{0: 19, 1: 15, 2: 36, 3: 32}"
3675, 8.0, 0.01, "{0: 20, 1: 23, 2: 30, 3: 31}"
3700, 7.0, 0.01, "{0: 26, 1: 15, 2: 21, 3: 32}"
3725, 7.0, 0.01, "{0: 12, 1: 12, 2: 40, 3: 30}"
3750, 7.0, 0.01, "{0: 2, 1: 12, 2: 30, 3: 22}"
3775, 14.0, 0.01, "{0: 32, 1: 12, 2: 36, 3: 21}"
3800, 9.0, 0.01, "{0: 4, 1: 41, 2: 20, 3: 27}"
3825, 4.0, 0.01, "{0: 20, 1: 9, 2: 17, 3: 21}"
3850, 8.0, 0.01, "{0: 7, 1: 8, 2: 33, 3: 27}"
3875, 11.0, 0.01, "{0: 57, 1: 17, 2: 10, 3: 22}"
3900, 8.0, 0.01, "{0: 7, 1: 38, 2: 12, 3: 21}"
3925, 7.0, 0.01, "{0: 6, 1: 5, 2: 35, 3: 20}"
3950, 12.0, 0.01, "{0: 28, 1: 23, 2: 31, 3: 32}"
3975, 11.0, 0.01, "{0: 1, 1: 12, 2: 37, 3: 21}"
4000, 3.0, 0.01, "{0: 0, 1: 38, 2: 9, 3: 13}"
4025, 4.0, 0.01, "{0: 5, 1: 21, 2: 26, 3: 13}"
4050, 8.0, 0.01, "{0: 19, 1: 25, 2: 16, 3: 18}"
4075, 11.0, 0.01, "{0: 24, 1: 14, 2: 15, 3: 18}"
4100, 7.0, 0.01, "{0: 16, 1: 11, 2: 17, 3: 21}"
4125, 14.0, 0.01, "{0: 40, 1: 7, 2: 32, 3: 30}"
4150, 11.0, 0.01, "{0: 20, 1: 12, 2: 35, 3: 35}"
4175, 12.0, 0.01, "{0: 33, 1: 14, 2: 36, 3: 28}"
4200, 7.0, 0.01, "{0: 34, 1: 6, 2: 11, 3: 15}"
4225, 11.0, 0.01, "{0: 4, 1: 7, 2: 48, 3: 43}"
4250, 11.0, 0.01, "{0: 37, 1: 18, 2: 21, 3: 26}"
4275, 9.0, 0.01, "{0: 29, 1: 10, 2: 47, 3: 36}"
4300, 7.0, 0.01, "{0: 32, 1: 6, 2: 13, 3: 15}"
4325, 12.0, 0.01, "{0: 12, 1: 6, 2: 34, 3: 28}"
4350, 4.0, 0.01, "{0: 15, 1: 7, 2: 21, 3: 26}"
4375, 7.0, 0.01, "{0: 27, 1: 6, 2: 10, 3: 23}"
4400, 11.0, 0.01, "{0: 7, 1: 6, 2: 26, 3: 32}"
4425, 11.0, 0.01, "{0: 15, 1: 8, 2: 39, 3: 40}"
4450, 10.0, 0.01, "{0: 25, 1: 5, 2: 36, 3: 27}"
4475, 12.0, 0.01, "{0: 24, 1: 6, 2: 22, 3: 32}"
4500, 10.0, 0.01, "{0: 34, 1: 8, 2: 26, 3: 26}"
4525, 11.0, 0.01, "{0: 28, 1: 7, 2: 33, 3: 41}"
4550, 11.0, 0.01, "{0: 12, 1: 5, 2: 15, 3: 39}"
4575, 11.0, 0.01, "{0: 47, 1: 6, 2: 41, 3: 41}"
4600, 9.0, 0.01, "{0: 34, 1: 5, 2: 24, 3: 23}"
4625, 11.0, 0.01, "{0: 28, 1: 7, 2: 64, 3: 37}"
4650, 10.0, 0.01, "{0: 15, 1: 5, 2: 59, 3: 41}"
4675, 13.0, 0.01, "{0: 21, 1: 5, 2: 56, 3: 42}"
4700, 7.0, 0.01, "{0: 26, 1: 5, 2: 31, 3: 32}"
4725, 8.0, 0.01, "{0: 26, 1: 5, 2: 22, 3: 21}"
4750, 13.0, 0.01, "{0: 17, 1: 6, 2: 59, 3: 43}"
4775, 13.0, 0.01, "{0: 40, 1: 5, 2: 42, 3: 33}"
4800, 12.0, 0.01, "{0: 39, 1: 6, 2: 39, 3: 31}"
4825, 9.0, 0.01, "{0: 15, 1: 5, 2: 53, 3: 45}"
4850, 11.0, 0.01, "{0: 22, 1: 6, 2: 24, 3: 19}"
4875, 7.0, 0.01, "{0: 20, 1: 6, 2: 39, 3: 29}"
4900, 13.0, 0.01, "{0: 14, 1: 5, 2: 40, 3: 33}"
4925, 10.0, 0.01, "{0: 53, 1: 7, 2: 37, 3: 32}"
4950, 12.0, 0.01, "{0: 46, 1: 6, 2: 30, 3: 29}"
4975, 8.0, 0.01, "{0: 17, 1: 5, 2: 46, 3: 34}"
5000, 12.0, 0.01, "{0: 33, 1: 5, 2: 23, 3: 22}"
