episode,reward,epsilon,action_frequency
7000, 15.0, 0.01, "{0: 70, 1: 10, 2: 40, 3: 26}"
7025, 11.0, 0.01, "{0: 48, 1: 18, 2: 38, 3: 33}"
7050, 13.0, 0.01, "{0: 40, 1: 9, 2: 38, 3: 38}"
7075, 11.0, 0.01, "{0: 46, 1: 10, 2: 40, 3: 28}"
7100, 11.0, 0.01, "{0: 72, 1: 8, 2: 43, 3: 26}"
7125, 18.0, 0.01, "{0: 80, 1: 5, 2: 48, 3: 36}"
7150, 14.0, 0.01, "{0: 64, 1: 25, 2: 54, 3: 34}"
7175, 16.0, 0.01, "{0: 46, 1: 28, 2: 52, 3: 44}"
7200, 19.0, 0.01, "{0: 85, 1: 15, 2: 48, 3: 36}"
7225, 9.0, 0.01, "{0: 59, 1: 7, 2: 27, 3: 23}"
7250, 15.0, 0.01, "{0: 65, 1: 7, 2: 45, 3: 26}"
7275, 11.0, 0.01, "{0: 17, 1: 58, 2: 32, 3: 30}"
7300, 18.0, 0.01, "{0: 50, 1: 29, 2: 50, 3: 41}"
7325, 11.0, 0.01, "{0: 51, 1: 8, 2: 44, 3: 28}"
7350, 17.0, 0.01, "{0: 91, 1: 6, 2: 40, 3: 33}"
7375, 9.0, 0.01, "{0: 49, 1: 18, 2: 29, 3: 24}"
7400, 16.0, 0.01, "{0: 28, 1: 35, 2: 49, 3: 38}"
7425, 15.0, 0.01, "{0: 18, 1: 29, 2: 58, 3: 41}"
7450, 14.0, 0.01, "{0: 5, 1: 61, 2: 45, 3: 28}"
7475, 7.0, 0.01, "{0: 36, 1: 23, 2: 25, 3: 20}"
7500, 15.0, 0.01, "{0: 39, 1: 56, 2: 30, 3: 33}"
7525, 5.0, 0.01, "{0: 7, 1: 29, 2: 22, 3: 21}"
7550, 7.0, 0.01, "{0: 29, 1: 27, 2: 25, 3: 22}"
7575, 13.0, 0.01, "{0: 25, 1: 5, 2: 31, 3: 23}"
7600, 16.0, 0.01, "{0: 77, 1: 12, 2: 46, 3: 38}"
7625, 10.0, 0.01, "{0: 20, 1: 22, 2: 29, 3: 25}"
7650, 10.0, 0.01, "{0: 38, 1: 24, 2: 37, 3: 29}"
7675, 12.0, 0.01, "{0: 25, 1: 33, 2: 27, 3: 27}"
7700, 16.0, 0.01, "{0: 17, 1: 68, 2: 44, 3: 39}"
7725, 17.0, 0.01, "{0: 19, 1: 56, 2: 40, 3: 35}"
7750, 10.0, 0.01, "{0: 40, 1: 7, 2: 25, 3: 24}"
7775, 14.0, 0.01, "{0: 35, 1: 29, 2: 42, 3: 29}"
7800, 15.0, 0.01, "{0: 58, 1: 20, 2: 38, 3: 27}"
7825, 21.0, 0.01, "{0: 45, 1: 18, 2: 39, 3: 35}"
