date-time,episode,total_steps,reward,pid,steps,avg_loss,value_net,target_net,epsilon
2022/12/26-15:03:26,5047,3960,3.0,29495,70,0.024184,-1885.058837890625,-1854.53564453125,0.4470833333333334
2022/12/26-15:03:26,5048,3974,7.0,29497,103,0.033887,-1885.0947265625,-1854.53564453125,0.4475
2022/12/26-15:03:28,5049,4044,4.0,29496,68,0.027777,-1885.8740234375,-1854.53564453125,0.4460000000000001
2022/12/26-15:03:28,5050,4044,2.0,29500,55,0.026654,-1885.8740234375,-1854.53564453125,0.44650000000000006
2022/12/26-15:03:30,5051,4096,4.0,29502,69,0.036456,-1885.8582763671875,-1854.53564453125,0.44650000000000006
2022/12/26-15:03:35,5052,4326,6.0,29498,100,0.033543,-1881.6854248046875,-1854.53564453125,0.44650000000000006
2022/12/26-15:03:37,5053,4380,2.0,29497,48,0.031846,-1881.9306640625,-1854.53564453125,0.447
2022/12/26-15:03:37,5054,4417,5.0,29499,84,0.043573,-1881.044921875,-1854.53564453125,0.44749999999999995
2022/12/26-15:03:38,5055,4432,3.0,29495,60,0.024776,-1881.3135986328125,-1854.53564453125,0.44650000000000006
2022/12/26-15:03:38,5056,4439,3.0,29501,69,0.020127,-1880.7908935546875,-1854.53564453125,0.4460000000000001
2022/12/26-15:03:43,5057,4603,4.0,29496,70,0.026552,-1880.610107421875,-1854.53564453125,0.44533333333333347
2022/12/26-15:03:43,5058,4617,8.0,29500,75,0.031953,-1880.2333984375,-1854.53564453125,0.44591666666666674
2022/12/26-15:03:44,5059,4639,3.0,29502,65,0.035427,-1880.3673095703125,-1854.53564453125,0.44591666666666674
2022/12/26-15:03:47,5060,4730,1.0,29497,44,0.031040,-1879.649658203125,-1854.53564453125,0.4465
2022/12/26-15:03:49,5061,4821,3.0,29498,61,0.032731,-1879.6365966796875,-1854.53564453125,0.44591666666666674
2022/12/26-15:03:52,5062,4907,3.0,29499,62,0.041074,-1879.58056640625,-1854.53564453125,0.4470833333333333
2022/12/26-15:03:56,5063,5027,8.0,29495,75,0.029026,-1880.3551025390625,-1854.53564453125,0.44591666666666674
2022/12/26-15:03:56,5064,5037,4.0,29501,74,0.021765,-1880.828857421875,-1854.53564453125,0.44533333333333347
2022/12/26-15:03:58,5065,5106,4.0,29496,67,0.027042,-1881.77490234375,-1854.53564453125,0.4446666666666668
2022/12/26-15:04:03,5066,5289,12.0,29502,82,0.041403,-1879.990234375,-1854.53564453125,0.4453333333333334
2022/12/26-15:04:03,5067,5289,5.0,29500,84,0.030692,-1879.990234375,-1854.53564453125,0.4453333333333334
2022/12/26-15:04:04,5068,5331,5.0,29497,79,0.029449,-1879.8056640625,-1854.53564453125,0.446
2022/12/26-15:04:08,5069,5500,5.0,29498,87,0.029617,-1880.104248046875,-1854.53564453125,0.4453333333333334
2022/12/26-15:04:09,5070,5517,8.0,29499,75,0.043790,-1880.7989501953125,-1854.53564453125,0.4466666666666666
2022/12/26-15:04:11,5071,5612,3.0,29501,66,0.021239,-1881.0621337890625,-1854.53564453125,0.4446666666666668
2022/12/26-15:04:11,5072,5620,8.0,29495,79,0.030960,-1880.9541015625,-1854.53564453125,0.4453333333333334
2022/12/26-15:04:11,5073,5627,3.0,29496,62,0.025989,-1881.3192138671875,-1854.53564453125,0.4440000000000002
2022/12/26-15:04:13,5074,5721,3.0,29500,57,0.032473,-1882.3218994140625,-1854.53564453125,0.4447500000000001
2022/12/26-15:04:17,5075,5887,5.0,29502,78,0.039068,-1881.8497314453125,-1854.53564453125,0.4447500000000001
2022/12/26-15:04:21,5076,6060,3.0,29499,68,0.043353,-1885.3367919921875,-1854.53564453125,0.4462499999999999
2022/12/26-15:04:24,5077,6172,4.0,29495,69,0.029444,-1888.381591796875,-1854.53564453125,0.4447500000000001
