Episode: 126, Total Reward: 110.0, Steps: 695
Episode: 127, Total Reward: 100.0, Steps: 612
Episode: 128, Total Reward: 110.0, Steps: 652
Episode: 129, Total Reward: 100.0, Steps: 801
Episode: 130, Total Reward: 90.0, Steps: 562
Episode: 131, Total Reward: 160.0, Steps: 1149
Episode: 132, Total Reward: 130.0, Steps: 790
Episode: 133, Total Reward: 140.0, Steps: 1064
Episode: 134, Total Reward: 130.0, Steps: 684
Episode: 135, Total Reward: 250.0, Steps: 1311
Episode: 136, Total Reward: 130.0, Steps: 627
Episode: 137, Total Reward: 1300.0, Steps: 4376
Episode: 138, Total Reward: 100.0, Steps: 976
Episode: 139, Total Reward: 205.0, Steps: 941
Episode: 140, Total Reward: 100.0, Steps: 484
Episode: 141, Total Reward: 100.0, Steps: 765
Episode: 142, Total Reward: 205.0, Steps: 1197
Episode: 143, Total Reward: 220.0, Steps: 1007
Episode: 144, Total Reward: 150.0, Steps: 767
Episode: 145, Total Reward: 265.0, Steps: 1275
Episode: 146, Total Reward: 220.0, Steps: 2714
Episode: 147, Total Reward: 90.0, Steps: 330
Episode: 148, Total Reward: 100.0, Steps: 606
Episode: 149, Total Reward: 130.0, Steps: 1003
Episode: 150, Total Reward: 130.0, Steps: 711
Episode: 151, Total Reward: 140.0, Steps: 772
Episode: 152, Total Reward: 90.0, Steps: 2131
Episode: 153, Total Reward: 110.0, Steps: 1044
Episode: 154, Total Reward: 130.0, Steps: 836
Episode: 155, Total Reward: 160.0, Steps: 776
Episode: 156, Total Reward: 50.0, Steps: 501
Episode: 157, Total Reward: 120.0, Steps: 706
Episode: 158, Total Reward: 150.0, Steps: 1417
Episode: 159, Total Reward: 90.0, Steps: 711
Episode: 160, Total Reward: 90.0, Steps: 688
Episode: 161, Total Reward: 100.0, Steps: 734
Episode: 162, Total Reward: 130.0, Steps: 614
Episode: 163, Total Reward: 325.0, Steps: 1566
Episode: 164, Total Reward: 205.0, Steps: 1865
Episode: 165, Total Reward: 90.0, Steps: 761
Episode: 166, Total Reward: 100.0, Steps: 940
Episode: 167, Total Reward: 90.0, Steps: 437
Episode: 168, Total Reward: 150.0, Steps: 708
Episode: 169, Total Reward: 370.0, Steps: 1312
Episode: 170, Total Reward: 20.0, Steps: 251
Episode: 171, Total Reward: 150.0, Steps: 669
Episode: 172, Total Reward: 235.0, Steps: 1643
Episode: 173, Total Reward: 120.0, Steps: 636
Episode: 174, Total Reward: 110.0, Steps: 310
Episode: 175, Total Reward: 175.0, Steps: 1095
Episode: 176, Total Reward: 235.0, Steps: 1766
Episode: 177, Total Reward: 90.0, Steps: 567
Episode: 178, Total Reward: 70.0, Steps: 514
Episode: 179, Total Reward: 30.0, Steps: 203
Episode: 180, Total Reward: 160.0, Steps: 1061
Episode: 181, Total Reward: 80.0, Steps: 412
Episode: 182, Total Reward: 235.0, Steps: 1021
Episode: 183, Total Reward: 205.0, Steps: 1166
Episode: 184, Total Reward: 80.0, Steps: 703
Episode: 185, Total Reward: 250.0, Steps: 1768
Episode: 186, Total Reward: 295.0, Steps: 2935
Episode: 187, Total Reward: 90.0, Steps: 777
Episode: 188, Total Reward: 440.0, Steps: 2005
Episode: 189, Total Reward: 130.0, Steps: 914
Episode: 190, Total Reward: 160.0, Steps: 788
Episode: 191, Total Reward: 90.0, Steps: 775
Episode: 192, Total Reward: 150.0, Steps: 652
Episode: 193, Total Reward: 220.0, Steps: 1293
Episode: 194, Total Reward: 130.0, Steps: 806
Episode: 195, Total Reward: 295.0, Steps: 1378
Episode: 196, Total Reward: 150.0, Steps: 951
Episode: 197, Total Reward: 110.0, Steps: 452
Episode: 198, Total Reward: 130.0, Steps: 1277
Episode: 199, Total Reward: 150.0, Steps: 862
Episode: 200, Total Reward: 60.0, Steps: 462
Episode: 201, Total Reward: 30.0, Steps: 253
Episode: 202, Total Reward: 160.0, Steps: 771
Episode: 203, Total Reward: 120.0, Steps: 658
Episode: 204, Total Reward: 160.0, Steps: 930
Episode: 205, Total Reward: 90.0, Steps: 672
Episode: 206, Total Reward: 110.0, Steps: 700
Episode: 207, Total Reward: 150.0, Steps: 1243
Episode: 208, Total Reward: 190.0, Steps: 2255
Episode: 209, Total Reward: 90.0, Steps: 771
Episode: 210, Total Reward: 120.0, Steps: 824
Episode: 211, Total Reward: 100.0, Steps: 349
Episode: 212, Total Reward: 110.0, Steps: 884
Episode: 213, Total Reward: 205.0, Steps: 1332
Episode: 214, Total Reward: 175.0, Steps: 1143
Episode: 215, Total Reward: 280.0, Steps: 1873
Episode: 216, Total Reward: 100.0, Steps: 1049
Episode: 217, Total Reward: 140.0, Steps: 759
Episode: 218, Total Reward: 110.0, Steps: 851
Episode: 219, Total Reward: 90.0, Steps: 743
Episode: 220, Total Reward: 140.0, Steps: 1139
Episode: 221, Total Reward: 140.0, Steps: 1082
Episode: 222, Total Reward: 90.0, Steps: 759
Episode: 223, Total Reward: 110.0, Steps: 682
Episode: 224, Total Reward: 40.0, Steps: 238
Episode: 225, Total Reward: 160.0, Steps: 879
Episode: 226, Total Reward: 190.0, Steps: 1359
Episode: 227, Total Reward: 110.0, Steps: 618
Episode: 228, Total Reward: 250.0, Steps: 1298
Episode: 229, Total Reward: 150.0, Steps: 1037
Episode: 230, Total Reward: 175.0, Steps: 1199
Episode: 231, Total Reward: 150.0, Steps: 896
Episode: 232, Total Reward: 120.0, Steps: 685
Episode: 233, Total Reward: 340.0, Steps: 1392
Episode: 234, Total Reward: 160.0, Steps: 1346
Episode: 235, Total Reward: 140.0, Steps: 701
Episode: 236, Total Reward: 100.0, Steps: 1017
Episode: 237, Total Reward: 50.0, Steps: 378
Episode: 238, Total Reward: 20.0, Steps: 255
Episode: 239, Total Reward: 100.0, Steps: 471
Episode: 240, Total Reward: 250.0, Steps: 1169
Episode: 241, Total Reward: 110.0, Steps: 677
Episode: 242, Total Reward: 110.0, Steps: 634
Episode: 243, Total Reward: 120.0, Steps: 777
Episode: 244, Total Reward: 190.0, Steps: 922
Episode: 245, Total Reward: 90.0, Steps: 460
Episode: 246, Total Reward: 175.0, Steps: 742
Episode: 247, Total Reward: 120.0, Steps: 858
Episode: 248, Total Reward: 120.0, Steps: 740
Episode: 249, Total Reward: 235.0, Steps: 1023
Episode: 250, Total Reward: 120.0, Steps: 592
Episode: 251, Total Reward: 80.0, Steps: 450
Episode: 252, Total Reward: 110.0, Steps: 551
Episode: 253, Total Reward: 235.0, Steps: 1234
Episode: 254, Total Reward: 80.0, Steps: 594
Episode: 255, Total Reward: 140.0, Steps: 1400
Episode: 256, Total Reward: 265.0, Steps: 1846
Episode: 257, Total Reward: 220.0, Steps: 831
